name,horse_id,father,father_id,mother,mother_id,grand_father_1,grand_father_1_id,grand_father_2,grand_father_2_id,grand_mother_1,grand_mother_1_id,grand_mother_2,grand_mother_2_id
リケアブロンシュ,2021109010,アルデバランIIAldebaran(米),000a010541,ホットレッグス,2003102468,Mr.Prospector,000a001607,Galileo(愛),000a00232b,ChimesofFreedom,000a010548,アクセラレイションAcceleration(仏),000a00fb8f
アーススピリット,2021105339,マインドユアビスケッツMindYourBiscuits(米),000a01392e,アースビーガ,2013102355,Posse,000a01124c,ゴールドアリュール,1999106689,Jazzmane,000a01392d,エイシンベリンダ,2001100137
デルマヴェーダ,2021101986,イスラボニータ,2011103565,デルマサリーチャン,2011100822,フジキセキ,1992109618,ホワイトマズルWhiteMuzzle(英),1990109700,イスラコジーンIslaCozzene(米),000a011566,ローザロッサ,1999107069
ゴヴェルナーレリコ,2021105085,エイシンフラッシュ,2007102951,スターズバース,2014105689,キングズベストKing'sBest(米),000a0022d2,タートルボウルTurtleBowl(愛),000a012045,ムーンレディMoonlady(独),000a010eb7,ボーンスター,1996107239
ソルレース,2021101677,アドマイヤムーン,2003102991,ニードルクラフトNeedlecraft(愛),000a011cf7,エンドスウィープEndSweep(米),000a00010f,MarkofEsteem,000a002097,マイケイティーズ,1998101750,SharpPoint,000a011ce2
ロンフォン,2021105830,ドレフォンDrefong(米),000a013b82,ラヴアンドドラゴン,2013104939,GioPonti(米),000a011a7e,ディープインパクト,2002100816,Eltimaas,000a013b81,ラヴアンドバブルズLoveAndBubbles(米),000a0106a6
ピースヒロフェイス,2021105769,サトノダイヤモンド,2013106101,ペルヴィアンリリー,2004103056,ディープインパクト,2002100816,フレンチデピュティFrenchDeputy(米),000a00013a,マルペンサMalpensa(亜),000a011cdc,ラスティックベルRusticBelle(米),000a00647d
シアブリス,2021105742,エピファネイア,2010104155,ブリスフルデイズ,2015104661,シンボリクリスエス,1999110099,キングカメハメハ,2001103460,シーザリオ,2002100844,アドマイヤハッピー,1998101744
ヴォーグアルタイル,2021104483,サトノクラウン,2012104668,キャプテンヴォーグ,2013105697,Marju,000a001fb6,キャプテントゥーレ,2005102216,ジョコンダIIJioconda(愛),000a011cf6,ライラッククイーンLilacQueen(独),000a010ab9
スプリンクルソルト,2021106591,ニューイヤーズデイ,000a014589,ジョリーダンス,2001102114,StreetCry(愛),000a0103ba,ダンスインザダーク,1993109188,Justwhistledixie,000a014588,ピーターホフズパティアPeterhof'sPatea(米),000a006554
マースフルガール,2021105297,ダイワメジャー,2001103114,レディトゥプリーズReadytoPlease(米),000a011167,サンデーサイレンスSundaySilence(米),000a00033a,MoreThanReady,000a00fcdd,スカーレットブーケ,1988107320,GuiltyPleasure,000a0110d0
デアパーディタ,2021100236,リオンディーズ,2013105915,ママアルパ,2011103790,キングカメハメハ,2001103460,タニノギムレット,1999100226,シーザリオ,2002100844,ヴェルザンディ,2005102477
カルマンフィルター,2021104842,スワーヴリチャード,2014106083,カルマート,2008102645,ハーツクライ,2001103038,シンボリクリスエス,1999110099,ピラミマ,2005110048,キープクワイエット,2001103268
テーオーダムール,2021103131,バゴBago(仏),2001190004,フーダムール,2016105980,Nashwan,000a001ce7,エンパイアメーカーEmpireMaker(米),000a010542,Moonlight'sBox,000a010527,シャンパントパーズ,2010102984
ザッツ,2021100105,ビッグアーサー,2011103328,フェアリーロンド,2009106605,サクラバクシンオー,1989108341,ゴールドアリュール,1999106689,シヤボナSiyabona(米),000a01152e,フェアリーワルツ,1999110226
アオイサクラ,2021109004,ウインバリアシオン,2008103206,トガミサクラ,2010109003,ハーツクライ,2001103038,キャプテンスティーヴCaptainSteve(米),000a000d9d,スーパーバレリーナ,1994109504,サルサクイーン,1999106557
エイシンポップ,2021103962,エーシントップ,2010110058,エイシンノーティス,2011105569,TaleoftheCat(米),000a002276,キングカメハメハ,2001103460,Ecology,000a011c68,エイシンヘーベ,2001100113
ペイシャキク,2021102638,メイショウボーラー,2001100650,キクノフェアリー,2004103568,タイキシャトル,1994109686,アグネスタキオン,1998101516,ナイスレイズNiceRaise(米),000a0066da,グリーンアマラード,1988101913
インクルージョン,2021105403,ハーツクライ,2001103038,インクルードベティIncludeBetty(米),000a013db1,サンデーサイレンスSundaySilence(米),000a00033a,Include,000a010906,アイリッシュダンス,1990104626,Betty'sSolutions,000a013cdc
カイトグート,2021106308,キズナ,2010105827,マリブウィンMalibuWin(米),000a012046,ディープインパクト,2002100816,MalibuMoon,000a010c8e,キャットクイルCatequil(加),000a00646f,SeaJamieWin,000a01203f
ディマイザキッド,2021104324,ディーマジェスティ,2013104704,ミスミーチャン,2014105768,ディープインパクト,2002100816,ファスリエフFasliyev(米),000a00fc4c,エルメスティアラ,1998105991,レディセラヴィ,2004105725
ラスカンブレス,2021105391,ブリックスアンドモルタルBricksandMortar(米),000a014377,アースライズ,2012104884,Giant'sCauseway(米),000a0022e1,マンハッタンカフェ,1998101554,BeyondtheWaves,000a014376,ライジングクロスRisingCross(英),000a011523
プラムダンディ,2021100389,ラニ,2013110045,アンテプリッツ,2011104066,Tapit(米),000a011248,キングカメハメハ,2001103460,ヘヴンリーロマンス,2000105086,マチカネセキガハラ,2006106114
ザソード,2021107261,シルバーステート,2013105903,オンワードミシェル,2000100322,ディープインパクト,2002100816,アンバーシャダイ,1977103827,シルヴァースカヤSilverskaya(米),000a0117fe,オンワードウッド,1987100295
キタノマキシム,2021100514,ロジャーバローズ,2016106065,エリモプリンセス,2006100022,ディープインパクト,2002100816,キングカメハメハ,2001103460,リトルブックLittleBook(英),000a012100,エリモルミナス,2000100024
アオイミモザ,2021100873,ドレフォンDrefong(米),000a013b82,アオイサンシャイン,2013105547,GioPonti(米),000a011a7e,ダイワメジャー,2001103114,Eltimaas,000a013b81,ツーオブハート,1999106836
トラストボス,2021106972,キズナ,2010105827,ウェストレー,2015104703,ディープインパクト,2002100816,オルフェーヴル,2008102636,キャットクイルCatequil(加),000a00646f,ヴェイルオブアヴァロンVeilofAvalon(米),000a010633
インフルブルーム,2021106627,ダイワメジャー,2001103114,ザナ,2008110037,サンデーサイレンスSundaySilence(米),000a00033a,Galileo(愛),000a00232b,スカーレットブーケ,1988107320,Maskaya,000a010ec9
ピークブルーム,2021103311,エピファネイア,2010104155,ピエノフィオレ,2012105616,シンボリクリスエス,1999110099,キングカメハメハ,2001103460,シーザリオ,2002100844,フォーリアクイーン,1997101015
コスモインシスト,2021106772,ダノンバラード,2008103548,キーパップ,2009106458,ディープインパクト,2002100816,フレンチデピュティFrenchDeputy(米),000a00013a,レディバラード,1997110261,サルール,2003102727
ハナマツリ,2021106346,マツリダゴッホ,2003104570,トーアハナノマイ,2009104819,サンデーサイレンスSundaySilence(米),000a00033a,タップダンスシチー,1997110043,ペイパーレインPaperRain(米),000a00679d,フローラルマジックFloralMagic(米),000a00012a
エンピリカルルール,2021100833,ダンカークDunkirk(米),000a012185,サウスエンピリカル,2005101539,Unbridled'sSong(米),000a002071,マンハッタンカフェ,1998101554,SecretStatus,000a0121a5,エンピリカルEmpirical(米),000a0066f3
ナムラダリル,2021102540,メイショウボーラー,2001100650,ナムラカメーリア,2008106123,タイキシャトル,1994109686,ネオユニヴァース,2000101426,ナイスレイズNiceRaise(米),000a0066da,ベストタッセルド,2002110152
ヴェルディッキオ,2021101075,スクリーンヒーロー,2004103328,ファインビンテージ,2003102825,グラスワンダー,1995108676,ダンスインザダーク,1993109188,ランニングヒロイン,1993109144,オークヴィンテージOakVintage(米),000a00684c
レジットダンサーズ,2021104793,ダイワメジャー,2001103114,モクレン,2011110056,サンデーサイレンスSundaySilence(米),000a00033a,Galileo(愛),000a00232b,スカーレットブーケ,1988107320,Mauralakana,000a011f9b
ニュージーズ,2021105807,リアルスティール,2012104889,ミュージカルウェイMusicalWay(仏),000a011534,ディープインパクト,2002100816,GoldAway,000a010313,ラヴズオンリーミーLovesOnlyMe(米),000a01179f,Mulika,000a0114cf
ダノンホイットニー,2021105639,ミッキーロケット,2013106099,ダノンチェリー,2015104691,キングカメハメハ,2001103460,ディープインパクト,2002100816,マネーキャントバイミーラヴMoneycantbuymelove(愛),000a011a65,ウィーミスフランキーWeemissfrankie(米),000a012060
ユキワリザクラ,2021103678,サトノダイヤモンド,2013106101,ユキアカリノマチ,2010101429,ディープインパクト,2002100816,キングカメハメハ,2001103460,マルペンサMalpensa(亜),000a011cdc,フジムスメ,1999102607
ブラックサンライズ,2021102235,キタサンブラック,2012102013,テーオールネサンス,2007106698,ブラックタイド,2001103312,クロフネ,1998110135,シュガーハート,2005106935,ユーモレスク,2000106876
トライデント,2021102793,ビーチパトロールBeachPatrol(米),000a0141f9,セインツプレイSaint'sPlay(米),000a011a50,LemonDropKid,000a0022d0,SaintBallado,000a00212e,BashfulBertie,000a0141f8,ColonialPlay,000a0113de
サンドオブエテル,2021104395,カリフォルニアクロームCaliforniaChrome(米),000a012602,エテルナミノル,2013104783,LuckyPulpit,000a012604,エンパイアメーカーEmpireMaker(米),000a010542,LovetheChase,000a012608,ダイワジェラート,2004103260
ロードレヴェランス,2021100155,モーリス,2011100655,パステラリア,2014101104,スクリーンヒーロー,2004103328,エンパイアメーカーEmpireMaker(米),000a010542,メジロフランシス,2001102948,レディパステル,1998105997
レヨンドゥソレイユ,2021110083,Renat,000a01d54d,グリーンバナナズ,000a01a7f5,InvincibleSpirit(愛),000a01056d,GreenTune,000a01025d,Cat'sEyeWitness,000a013d33,AnabaaRepublic,000a01a7f4
ファインノーブル,2021102887,マジェスティックウォリアーMajesticWarrior(米),000a011e9c,コウヨウルビー,2010104913,A.P.Indy,000a001d37,バブルガムフェロー,1993109219,DreamSupreme,000a011eae,アサヒマーキュリー,1991101226
トコトワ,2021110095,SmoothDaddy,000a01d476,ボーントゥービーオネストBornToBeHonest(愛),000a01be4c,ScatDaddy(米),000a0114fe,BornToSea,000a016477,PrairieMaiden,000a01d47d,SweetTern,000a01a984
アオイシン,2021104181,レイデオロ,2014106201,ロイヤルヴォルト,2012103226,キングカメハメハ,2001103460,ディープインパクト,2002100816,ラドラーダ,2006103419,レディジョアンLadyJoanne(米),000a011ac3
シベリアンポラリス,2021101056,リアルインパクト,2008103244,シベリアンクラシカ,2004110175,ディープインパクト,2002100816,Siphon,000a002220,トキオリアリティー,1994109536,CheerCheer,000a010024
カプリアズーラ,2021106414,ダノンレジェンド,2010110102,ティランジア,2015101603,MachoUno(米),000a010d0c,ハードスパンHardSpun(米),000a0116a1,マイグッドネス,000a011dc6,コムフレイComfrey(米),000a010ce2
コンテソレーラ,2021105449,リアルスティール,2012104889,エレクトラムElektrum(愛),000a0137fb,ディープインパクト,2002100816,HighChaparral(愛),000a010270,ラヴズオンリーミーLovesOnlyMe(米),000a01179f,CarolinesSecret,000a01375a
ポーラーウインド,2021105304,ダイワメジャー,2001103114,ワイルドウインドWildWind(独),000a013879,サンデーサイレンスSundaySilence(米),000a00033a,DanehillDancer(愛),000a002309,スカーレットブーケ,1988107320,ウーマンシークレットWomanSecret(愛),000a012001
タッカー,2021102049,ミッキーロケット,2013106099,タッカースタート,2014100387,キングカメハメハ,2001103460,シンボリクリスエス,1999110099,マネーキャントバイミーラヴMoneycantbuymelove(愛),000a011a65,ハングインゼア,2004100936
ユイノコドウ,2021106569,ヴィクトワールピサ,2007102923,シャンスイ,2005102148,ネオユニヴァース,2000101426,スウェプトオーヴァーボードSweptOverboard(米),000a00fa34,ホワイトウォーターアフェアWhitewaterAffair(英),000a00039f,ダイナチャイナ,1983103979
キタノマティーニ,2021101035,エスポワールシチー,2005102837,キタノユーリン,2014104081,ゴールドアリュール,1999106689,ルーラーシップ,2007103143,エミネントシチー,1998106179,ツルマルサンチャン,2009104344
サンウイキョウ,2021101306,カレンブラックヒル,2009106230,フクノグローリア,2012100411,ダイワメジャー,2001103114,ブライアンズタイムBrian'sTime(米),000a000082,チャールストンハーバーCharlestonHarbor(米),000a00fe53,シルクヴァルキリー,2003100566
グエンフィヴァル,2021106632,トランセンド,2006104736,スイートメドゥーサ,2010105865,ワイルドラッシュWildRush(米),000a0003a1,アグネスタキオン,1998101516,シネマスコープ,1993105186,ローブデコルテ,2004110114
ドナレア,2021101864,レッドファルクス,2011104416,ドナプリモ,2015106354,スウェプトオーヴァーボードSweptOverboard(米),000a00fa34,フリオーソ,2004106867,ベルモット,1997103531,ドナビジュー,2004102121
カーリングホリデー,2021106982,ニューイヤーズデイ,000a014589,クリッピングエリア,2009105733,StreetCry(愛),000a0103ba,シンボリクリスエス,1999110099,Justwhistledixie,000a014588,エアウイングス,1994108559
シールビーライト,2021106517,ヘニーハウンド,2008110097,マヤノブリッツ,2011101063,ヘニーヒューズHennyHughes(米),000a011155,サムライハート,2002100996,BeautifulMoment,000a011015,マヤノプリヤ,2003105692
ビービーピケット,2021102422,レッドファルクス,2011104416,ビービーアングラー,2014101552,スウェプトオーヴァーボードSweptOverboard(米),000a00fa34,ヴィクトワールピサ,2007102923,ベルモット,1997103531,ビービーバーニング,2001106103
ニースライト,2021102898,マクフィ,000a011c77,ニースセブンティン,2005101300,Dubawi,000a0115e2,ナリタトップロード,1996102442,Dhelaal,000a011c7c,バンブトンニース,1993106777
ヨリノサルティア,2021102222,コパノリッキー,2010106548,サンチャゴボラーレ,2014106462,ゴールドアリュール,1999106689,ヴィクトワールピサ,2007102923,コパノニキータ,2001107110,ヴォークリンデ,2001103446
エオナス,2021105200,ロゴタイプ,2010103783,フローラルカーヴ,2004103127,ローエングリン,1999106738,アグネスタキオン,1998101516,ステレオタイプ,2002100573,インディアナカーヴ,1996110026
ビストワル,2021100640,Nathaniel(愛),000a011bdb,コンシダレイト,000a01a8e7,Galileo(愛),000a00232b,Dansili,000a010a5f,MagnificientStyle,000a010cab,Concentric,000a013a4f
プリンセスココア,2021106076,ファインニードル,2013100612,ギフトアワード,2013104450,アドマイヤムーン,2003102991,エンパイアメーカーEmpireMaker(米),000a010542,ニードルクラフトNeedlecraft(愛),000a011cf7,ギフトオブザラック,2008100599
ツンツン,2021106341,バゴBago(仏),2001190004,リュウキンカ,2013105615,Nashwan,000a001ce7,ステイゴールド,1994108729,Moonlight'sBox,000a010527,フローリオットFloriot(愛),000a0111c6
