year,race_id,ground,rotation,length,weather,ground_condition,start_time,rank,name,sex_age,e_weight,jockey,gap,p_rank,acsent,odds,pop,h_weight
2014,201406040801,ダ,右,1200m,晴,良,10:05,1,イオ,牝2,54,丸山元気,,1-1,38.4,4.3,2,474(-2)
2014,201406040801,ダ,右,1200m,晴,良,10:05,2,コスモサビク,牡2,55,石橋脩,2,4-3,38.4,5.2,3,456(+2)
2014,201406040801,ダ,右,1200m,晴,良,10:05,3,ドリームメモリー,牝2,54,田辺裕信,クビ,9-11,38.1,7.8,4,452(+6)
2014,201406040801,ダ,右,1200m,晴,良,10:05,4,トーセンギガ,牡2,55,武士沢友,クビ,14-14,37.4,171.6,16,448(+6)
2014,201406040801,ダ,右,1200m,晴,良,10:05,5,キョウエイプライド,牡2,55,田中勝春,1,13-14,37.8,15.3,6,500(+6)
2014,201406040801,ダ,右,1200m,晴,良,10:05,6,ポワソンダブリル,牡2,55,後藤浩輝,クビ,4-3,38.8,97.2,13,454(+12)
2014,201406040801,ダ,右,1200m,晴,良,10:05,7,リリーグランツ,牝2,51,伴啓太,クビ,9-7,38.4,10.8,5,436(-2)
2014,201406040801,ダ,右,1200m,晴,良,10:05,8,ウイズキッド,牡2,55,津村明秀,アタマ,6-7,38.7,23.7,8,522(+2)
2014,201406040801,ダ,右,1200m,晴,良,10:05,9,ブラウンゴッデス,牝2,54,蛯名正義,ハナ,6-3,38.7,3.0,1,448(0)
2014,201406040801,ダ,右,1200m,晴,良,10:05,10,ティアップサンダー,牡2,55,黛弘人,クビ,9-11,38.5,19.8,7,472(-2)
2014,201406040801,ダ,右,1200m,晴,良,10:05,11,スパイホップ,牡2,52,木幡初也,クビ,9-7,38.6,103.9,14,488(+10)
2014,201406040801,ダ,右,1200m,晴,良,10:05,12,ロッセーラ,牝2,54,藤岡康太,3.1/2,16-14,38.2,54.9,11,446(-10)
2014,201406040801,ダ,右,1200m,晴,良,10:05,13,カンヌ,牝2,54,柴田大知,2,2-3,39.9,148.7,15,424(+2)
2014,201406040801,ダ,右,1200m,晴,良,10:05,14,プロセルピナ,牝2,51,石川裕紀,クビ,14-11,38.8,59.7,12,444(+10)
2014,201406040801,ダ,右,1200m,晴,良,10:05,15,リガドール,牝2,54,北村宏司,1/2,6-7,39.9,37.4,10,458(+10)
2014,201406040801,ダ,右,1200m,晴,良,10:05,16,テルヌーヴ,牝2,51,長岡禎仁,クビ,2-2,40.2,30.1,9,484(+6)
2014,201406040802,ダ,右,1800m,晴,良,10:35,1,モンドアルジェンテ,牡2,55,ビュイッ,,6-6-5-6,38.6,6.0,3,506(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,2,タマノブリュネット,牝2,54,西村太一,1/2,15-16-12-6,37.9,16.7,5,470(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,3,ユアザイオン,牝2,54,Ｃ．デム,クビ,8-9-5-2,38.6,52.9,12,490(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,4,デストリーライズ,牡2,55,三浦皇成,3.1/2,3-3-1-1,39.5,34.9,10,494(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,5,ラブアストン,牡2,55,戸崎圭太,2.1/2,10-11-10-8,39.1,17.6,6,436(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,6,ファミリーパーク,牝2,54,伊藤工真,6,13-14-16-14,39.3,21.7,7,464(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,7,グエンザップ,牡2,55,蛯名正義,2,8-7-12-8,40.2,22.2,8,454(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,8,レサンシエル,牡2,55,柴田善臣,クビ,4-4-2-2,41.2,2.4,1,500(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,9,エフティアシュリー,牝2,51,木幡初也,3/4,15-14-10-12,40.6,184.4,16,492(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,10,レイズユアハンズ,牡2,55,的場勇人,3.1/2,4-4-5-8,41.7,66.9,13,500(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,11,ハタノソルプレーザ,牡2,55,武豊,3,12-11-5-8,42.2,7.4,4,470(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,12,サニーゴールド,牡2,55,北村宏司,2.1/2,10-11-15-12,41.8,5.5,2,502(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,13,プリサイスギフト,牝2,54,田辺裕信,1.1/4,2-2-2-2,43.1,25.1,9,472(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,14,キングランナー,牡2,55,田中勝春,5,1-1-2-2,44.0,46.4,11,510(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,15,トーセンプリズム,牝2,54,横山典弘,大,7-7-12-15,45.1,73.1,14,476(0)
2014,201406040802,ダ,右,1800m,晴,良,10:35,16,アポロパトリック,セ2,55,内田博幸,8,13-9-9-16,47.0,127.0,15,472(0)
2014,201406040803,芝,右,2000m,晴,良,11:05,1,ストレンジクォーク,牡2,55,岩田康誠,,12-12-12-7,34.8,8.7,3,492(0)
2014,201406040803,芝,右,2000m,晴,良,11:05,2,ヒアカムズザサン,牡2,55,戸崎圭太,3.1/2,2-2-2-2,36.2,2.4,1,504(0)
2014,201406040803,芝,右,2000m,晴,良,11:05,3,スペキュロス,牡2,55,柴田善臣,クビ,14-14-14-12,35.2,13.5,7,496(+2)
2014,201406040803,芝,右,2000m,晴,良,11:05,4,ニシノハッスル,牡2,55,北村宏司,ハナ,17-17-14-12,35.3,6.2,2,496(0)
2014,201406040803,芝,右,2000m,晴,良,11:05,5,トーセンカナロア,牡2,55,武豊,1.1/4,1-1-1-1,36.5,9.3,4,468(+2)
2014,201406040803,芝,右,2000m,晴,良,11:05,6,トーホウスペンサー,牡2,55,蛯名正義,1.1/2,3-3-3-3,36.4,11.0,5,484(+28)
2014,201406040803,芝,右,2000m,晴,良,11:05,7,ハイオンザリスト,牡2,55,田中勝春,1/2,14-14-16-15,35.6,30.3,10,460(-4)
2014,201406040803,芝,右,2000m,晴,良,11:05,8,ヤギリヴィーナス,牝2,54,松岡正海,1/2,7-7-8-7,36.3,31.4,11,446(-8)
2014,201406040803,芝,右,2000m,晴,良,11:05,9,グランシャリオ,牡2,55,Ｃ．デム,クビ,4-4-5-4,36.6,13.3,6,452(-2)
2014,201406040803,芝,右,2000m,晴,良,11:05,10,カシシ,牝2,54,横山典弘,1/2,12-12-9-11,36.3,24.8,9,448(+6)
2014,201406040803,芝,右,2000m,晴,良,11:05,11,ピースワンポイント,牡2,55,三浦皇成,1.1/2,4-4-3-4,37.0,122.3,15,498(+4)
2014,201406040803,芝,右,2000m,晴,良,11:05,12,グランデクオーレ,牝2,54,田辺裕信,ハナ,17-17-18-17,35.9,70.0,12,438(-2)
2014,201406040803,芝,右,2000m,晴,良,11:05,13,マイネルプレアデス,牡2,55,丹内祐次,3/4,8-7-7-7,36.9,246.9,17,448(+10)
2014,201406040803,芝,右,2000m,晴,良,11:05,14,スターチェイサー,牡2,55,福永祐一,クビ,4-4-5-4,37.1,15.9,8,474(-2)
2014,201406040803,芝,右,2000m,晴,良,11:05,15,モンセラー,牡2,55,小牧太,1,10-9-9-10,37.0,76.8,13,514(+4)
2014,201406040803,芝,右,2000m,晴,良,11:05,16,ショウナンマンゲツ,牡2,55,後藤浩輝,1.1/2,16-16-16-15,36.7,99.2,14,512(+10)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,1,コスモヨハネ,牡2,55,柴田大知,,1-1-1,34.9,7.3,5,490(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,2,キングカラカウア,牡2,55,武豊,アタマ,3-2-2,34.8,3.5,1,498(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,3,ダノンウルフ,牡2,55,後藤浩輝,4,7-6-6,35.1,7.0,4,466(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,4,スティンライクビー,牡2,55,吉田豊,1.1/4,8-3-3,35.4,17.3,8,466(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,5,アンドトゥモロー,牝2,54,福永祐一,1.1/4,11-10-10,35.2,8.2,6,460(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,6,エイシンガラナ,牡2,55,Ｃ．デム,クビ,3-3-3,35.7,6.4,3,456(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,7,アルフェリーチェ,牝2,51,石川裕紀,3/4,3-6-6,35.6,99.4,15,406(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,8,エストレージャ,牝2,54,北村宏司,クビ,14-12-12,35.3,38.7,9,460(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,9,ナンヨーアイリッド,牡2,55,岩田康誠,アタマ,8-10-10,35.4,6.4,2,478(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,10,ダヴィンチコード,牝2,54,戸崎圭太,1.1/4,3-3-3,36.1,14.1,7,406(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,11,オベストルシャトウ,牝2,54,丸田恭介,1.1/2,15-15-13,35.1,70.4,13,400(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,12,ダイワガーランド,牝2,54,武士沢友,1.1/2,11-14-13,35.5,39.8,10,476(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,13,リシーハット,牡2,55,松岡正海,1.1/4,8-9-8,36.4,76.2,14,456(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,14,ラファーガ,牝2,51,井上敏樹,2.1/2,2-6-8,36.9,65.2,12,474(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,15,セイウンシャイニー,牝2,54,大野拓弥,7,11-13-13,37.4,106.7,16,460(0)
2014,201406040804,芝,右, 外1600m,晴,良,11:35,16,ジーニアル,牝2,54,三浦皇成,7,15-16-16,37.8,60.2,11,464(0)
2014,201406040805,ダ,右,1800m,晴,良,12:25,1,タマモマズルカ,牡3,56,蛯名正義,,13-14-1-1,38.3,12.0,5,520(+8)
2014,201406040805,ダ,右,1800m,晴,良,12:25,2,アサクサスターズ,牡3,56,Ｃ．デム,2,5-5-5-3,38.2,2.6,1,486(+14)
2014,201406040805,ダ,右,1800m,晴,良,12:25,3,プレジールシチー,牡3,56,内田博幸,1.1/2,1-1-2-3,38.6,7.0,3,490(0)
2014,201406040805,ダ,右,1800m,晴,良,12:25,4,ビッグバンドジャズ,牡4,57,後藤浩輝,1.1/4,13-13-10-9,38.2,4.6,2,498(+2)
2014,201406040805,ダ,右,1800m,晴,良,12:25,5,ポルスターシャイン,牡4,57,戸崎圭太,1/2,8-8-8-7,38.4,8.9,4,476(+4)
2014,201406040805,ダ,右,1800m,晴,良,12:25,6,ワイドショー,牝3,54,吉田豊,アタマ,6-6-12-10,38.1,15.2,7,478(-13)
2014,201406040805,ダ,右,1800m,晴,良,12:25,7,ディーエスコマンド,牡4,57,柴田善臣,1.1/4,2-2-2-2,39.2,19.9,8,488(+16)
2014,201406040805,ダ,右,1800m,晴,良,12:25,8,ジュルヴォアソング,牡4,57,田中勝春,2.1/2,16-16-15-13,38.6,42.7,10,494(-4)
2014,201406040805,ダ,右,1800m,晴,良,12:25,9,テイエムコンドル,牡3,56,田辺裕信,1.1/4,12-12-6-3,39.4,37.6,9,460(+16)
2014,201406040805,ダ,右,1800m,晴,良,12:25,10,マイネルボルソー,牡3,56,柴田大知,3/4,9-9-6-7,39.6,52.3,11,478(+24)
2014,201406040805,ダ,右,1800m,晴,良,12:25,11,ジョーヌドール,牡4,57,三浦皇成,3/4,6-6-2-3,40.0,141.8,16,472(+6)
2014,201406040805,ダ,右,1800m,晴,良,12:25,12,ムードスウィングス,牝3,51,石川裕紀,クビ,15-15-12-10,39.3,13.3,6,466(0)
2014,201406040805,ダ,右,1800m,晴,良,12:25,13,アップルハウス,牡4,57,平野優,3.1/2,10-10-12-14,39.9,53.6,12,450(0)
2014,201406040805,ダ,右,1800m,晴,良,12:25,14,マイネルスパーブ,牡5,57,丹内祐次,2.1/2,10-10-15-14,40.1,60.6,13,476(+2)
2014,201406040805,ダ,右,1800m,晴,良,12:25,15,ヒメスズラン,牝3,54,石橋脩,3/4,3-3-10-14,40.6,96.4,14,498(+8)
2014,201406040805,ダ,右,1800m,晴,良,12:25,16,ダイワベスパー,牝5,55,北村宏司,大,3-3-8-10,43.1,117.6,15,452(0)
2014,201406040806,ダ,右,1200m,晴,良,12:55,1,ワイドエクセレント,牡4,57,内田博幸,,11-5,36.3,5.7,3,552(+2)
2014,201406040806,ダ,右,1200m,晴,良,12:55,2,タッチシタイ,牡4,57,池添謙一,1/2,3-3,37.1,2.9,1,490(+4)
2014,201406040806,ダ,右,1200m,晴,良,12:55,3,ヴァーノン,牡3,56,柴田善臣,1.1/4,1-1,37.6,17.1,7,502(+20)
2014,201406040806,ダ,右,1200m,晴,良,12:55,4,タンブルブルータス,牡5,57,岩田康誠,1.3/4,11-12,36.9,14.4,6,498(+6)
2014,201406040806,ダ,右,1200m,晴,良,12:55,5,マンリー,牡4,57,蛯名正義,ハナ,11-14,36.9,7.3,4,522(+2)
2014,201406040806,ダ,右,1200m,晴,良,12:55,6,アランルース,セ6,54,井上敏樹,1/2,8-10,37.3,49.4,12,460(+6)
2014,201406040806,ダ,右,1200m,晴,良,12:55,7,エンジェルビーツ,牝3,54,田辺裕信,1/2,11-12,37.1,43.6,10,440(-4)
2014,201406040806,ダ,右,1200m,晴,良,12:55,8,アテーナーズブレス,牝6,55,後藤浩輝,クビ,6-5,37.6,20.0,9,468(-2)
2014,201406040806,ダ,右,1200m,晴,良,12:55,9,ハヤブサフィーバー,牡5,57,吉田隼人,ハナ,16-16,36.8,47.7,11,510(+16)
2014,201406040806,ダ,右,1200m,晴,良,12:55,10,デリケートアーチ,牝5,52,木幡初也,1/2,6-5,37.7,5.1,2,488(+4)
2014,201406040806,ダ,右,1200m,晴,良,12:55,11,テイクエイム,牡7,57,柴田大知,ハナ,3-5,37.8,19.7,8,464(+8)
2014,201406040806,ダ,右,1200m,晴,良,12:55,12,プロスペラスマム,牝7,52,原田和真,ハナ,2-2,38.1,123.9,15,524(0)
2014,201406040806,ダ,右,1200m,晴,良,12:55,13,オオタニジムチョウ,牡5,54,長岡禎仁,クビ,8-10,37.6,70.9,13,462(+6)
2014,201406040806,ダ,右,1200m,晴,良,12:55,14,タイセイクインス,牝5,52,石川裕紀,1.1/4,11-14,37.5,112.3,14,492(-2)
2014,201406040806,ダ,右,1200m,晴,良,12:55,15,タニセンジャッキー,牡5,57,武豊,1.3/4,8-5,38.2,12.2,5,478(+6)
2014,201406040806,ダ,右,1200m,晴,良,12:55,16,サンセルマン,牡5,57,丸山元気,7,3-3,39.5,167.1,16,476(+6)
2014,201406040807,芝,右,2500m,晴,良,13:25,1,レイズアスピリット,牡3,53,丸山元気,,15-15-10-10,35.3,6.5,2,470(+4)
2014,201406040807,芝,右,2500m,晴,良,13:25,2,ナンヨーケンゴー,セ4,55,岩田康誠,クビ,14-13-6-5,35.5,10.1,6,484(+2)
2014,201406040807,芝,右,2500m,晴,良,13:25,3,ブライトボーイ,牡5,55,内田博幸,1.1/2,5-6-6-8,35.6,21.3,9,492(+12)
2014,201406040807,芝,右,2500m,晴,良,13:25,4,ヒールゼアハーツ,牡6,54,福永祐一,3/4,3-3-4-3,36.0,37.4,12,504(+4)
2014,201406040807,芝,右,2500m,晴,良,13:25,5,トニーポケット,牡5,54,Ｃ．デム,1/2,12-9-6-5,35.9,13.2,7,478(+4)
2014,201406040807,芝,右,2500m,晴,良,13:25,6,レイトライザー,牡4,54,横山典弘,ハナ,10-11-14-13,35.2,7.2,4,462(+8)
2014,201406040807,芝,右,2500m,晴,良,13:25,7,アースステップ,牡7,57,北村宏司,クビ,8-8-12-12,35.6,7.2,3,530(+4)
2014,201406040807,芝,右,2500m,晴,良,13:25,8,ピュアソルジャー,牡4,55,村田一誠,クビ,16-16-14-13,35.3,18.8,8,484(+4)
2014,201406040807,芝,右,2500m,晴,良,13:25,9,カーマイン,牡6,54,戸崎圭太,クビ,9-9-10-10,35.8,48.6,13,464(+14)
2014,201406040807,芝,右,2500m,晴,良,13:25,10,ヴォルスング,牡3,53,蛯名正義,クビ,10-11-12-13,35.7,7.9,5,460(+6)
2014,201406040807,芝,右,2500m,晴,良,13:25,11,フィルハーマジック,牝6,52,丸田恭介,ハナ,7-7-4-5,36.3,35.9,11,472(+4)
2014,201406040807,芝,右,2500m,晴,良,13:25,12,アニマトゥール,牝4,52,吉田隼人,クビ,13-13-16-16,35.3,64.3,15,456(+2)
2014,201406040807,芝,右,2500m,晴,良,13:25,13,ルミナスレッド,牝5,53,江田照男,3/4,5-4-2-2,36.6,82.3,16,506(+8)
2014,201406040807,芝,右,2500m,晴,良,13:25,14,ストーミング,牡3,55,田中勝春,2,1-1-1-1,37.0,3.8,1,490(+4)
2014,201406040807,芝,右,2500m,晴,良,13:25,15,トーセンワープ,牡4,55,吉田豊,4,2-2-2-3,37.6,22.5,10,474(+10)
